FileName,Well,Sample Description,Size [bp],Calibrated Conc. [ng/µl],Assigned Conc. [ng/µl],Peak Molarity [nmol/l],% Integrated Area,Peak Comment,Observations
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,EL2,Electronic Ladder,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,A3,,25,6.64,,409,,,Lower Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,A3,,77,3.38,,67.6,20.78,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,A3,,97,1.27,,20.1,7.78,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,A3,,142,11.6,,126,71.45,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,A3,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,B3,,25,7.07,,435,,,Lower Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,B3,,76,3.05,,61.9,16.42,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,B3,,97,1.43,,22.6,7.70,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,B3,,142,14.1,,152,75.88,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,B3,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,C3,,25,7.14,,440,,,Lower Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,C3,,81,1.60,,30.3,8.82,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,C3,,98,1.10,,17.2,6.06,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,C3,,144,11.5,,122,63.35,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,C3,,182,3.94,,33.3,21.78,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,C3,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,D3,,25,7.01,,432,,,Lower Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,D3,,81,2.18,,41.6,13.79,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,D3,,98,1.11,,17.4,7.02,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,D3,,144,12.5,,133,79.19,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,D3,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,E3,,25,6.77,,417,,,Lower Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,E3,,76,3.89,,79.3,23.77,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,E3,,98,1.32,,20.7,8.05,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,E3,,144,11.2,,119,68.18,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,E3,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,F3,,25,7.03,,433,,,Lower Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,F3,,84,3.07,,56.1,19.93,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,F3,,97,1.08,,17.0,6.99,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,F3,,142,11.3,,122,73.08,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,F3,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,G3,,25,7.25,,446,,,Lower Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,G3,,82,3.50,,66.1,23.07,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,G3,,97,0.946,,15.0,6.23,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,G3,,141,10.7,,117,70.70,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,G3,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,H3,,25,7.42,,457,,,Lower Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,H3,,75,4.03,,82.4,18.68,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,H3,,97,1.16,,18.4,5.36,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,H3,,141,16.4,,179,75.96,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,H3,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,A4,,25,6.80,,419,,,Lower Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,A4,,80,2.74,,53.0,19.21,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,A4,,99,0.934,,14.6,6.55,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,A4,,145,10.4,,110,73.29,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,A4,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,A4,,2388,0.135,,0.0868,0.95,,Peak outside of Sizing Range
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,B4,,25,7.35,,453,,,Lower Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,B4,,80,3.57,,68.9,22.91,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,B4,,98,1.11,,17.4,7.10,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,B4,,144,10.9,,116,69.99,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,B4,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,C4,,25,7.06,,435,,,Lower Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,C4,,75,3.53,,72.9,23.69,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,C4,,96,1.45,,23.2,9.76,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,C4,,143,9.91,,107,66.55,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,C4,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,D4,,25,7.19,,442,,,Lower Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,D4,,74,4.85,,101,31.66,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,D4,,97,1.59,,25.3,10.39,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,D4,,143,8.89,,95.7,57.95,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,D4,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,E4,,25,7.14,,439,,,Lower Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,E4,,82,2.59,,48.7,15.76,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,E4,,97,0.943,,14.9,5.74,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,E4,,143,12.9,,139,78.50,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,E4,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,F4,,25,6.99,,430,,,Lower Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,F4,,76,2.59,,52.7,17.94,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,F4,,96,1.11,,17.7,7.69,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,F4,,141,10.7,,117,74.36,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,F4,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,G4,,25,7.04,,433,,,Lower Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,G4,,77,3.37,,67.6,23.21,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,G4,,96,1.53,,24.6,10.56,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,G4,,139,9.61,,106,66.23,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,G4,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,H4,,25,7.11,,438,,,Lower Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,H4,,77,3.06,,61.5,16.46,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,H4,,95,1.08,,17.5,5.83,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,H4,,138,14.4,,161,77.70,,
