FileName,Well,Sample Description,Size [bp],Calibrated Conc. [ng/µl],Assigned Conc. [ng/µl],Peak Molarity [nmol/l],% Integrated Area,Peak Comment,Observations
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,EL2,Electronic Ladder,400,2.57,,9.87,12.66,,
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,EL2,Electronic Ladder,500,2.71,,8.33,13.36,,
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,EL2,Electronic Ladder,700,2.46,,5.41,12.15,,
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,EL2,Electronic Ladder,1000,2.89,,4.44,14.25,,
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,EL2,Electronic Ladder,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,A3,,25,8.89,,547,,,Lower Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,A3,,44,0.447,,15.8,100.00,,
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,A3,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,B3,,25,9.04,,556,,,Lower Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,B3,,35,1.01,,44.3,100.00,,
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,B3,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,C3,,25,8.66,,533,,,Lower Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,C3,,45,0.318,,10.9,77.34,,
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,C3,,51,0.0932,,2.83,22.66,,
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,C3,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,D3,,25,8.83,,543,,,Lower Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,D3,,45,0.462,,15.9,100.00,,
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,D3,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,E3,,25,8.45,,520,,,Lower Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,E3,,40,0.851,,32.3,100.00,,
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,E3,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,F3,,25,8.82,,543,,,Lower Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,F3,,35,0.557,,24.2,71.57,,
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,F3,,45,0.221,,7.56,28.43,,
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,F3,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,G3,,25,8.77,,539,,,Lower Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,G3,,37,0.251,,10.4,42.60,,
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,G3,,45,0.339,,11.6,57.40,,
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,G3,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,H3,,25,9.36,,576,,,Lower Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,H3,,44,0.604,,20.9,100.00,,
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,H3,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,A4,,25,8.96,,551,,,Lower Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,A4,,37,0.332,,13.7,48.84,,
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,A4,,46,0.348,,11.8,51.16,,
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,A4,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,B4,,25,8.95,,551,,,Lower Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,B4,,46,0.328,,11.0,100.00,,
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,B4,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,C4,,25,9.29,,572,,,Lower Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,C4,,34,0.656,,30.0,100.00,,
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,C4,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,D4,,25,8.95,,551,,,Lower Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,D4,,34,0.667,,29.8,100.00,,
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,D4,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,E4,,25,8.63,,531,,,Lower Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,E4,,44,0.521,,18.0,100.00,,
