Sample_ID,EIO_02,EIO_25,EIO_08,EIO_23,EIO_17,EIO_12,EIO_15,EIO_21,EIO_03,EIO_26,EIO_29,EIO_31,EIO_18,EIO_09,EIO_47,EIO_46,EIO_13,EIO_38,EIO_43,EIO_44,EIO_06,EIO_33,EIO_40,EIO_35,EIO_28,EIO_41,EIO_39,EIO_11,EIO_48,EIO_22,EIO_37,EIO_32,EIO_24,EIO_20,EIO_45,EIO_14,EIO_42,EIO_19,EIO_10,EIO_01,EIO_16,EIO_27,EIO_04,EIO_05,EIO_34,EIO_36,EIO_07,EIO_30
T_G_Set3_36,0,1,0,1,0,1,1,0,0,0,2,0,0,3,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,1,0,0,396888,0,0
T_G_Set3_37,0,0,0,0,0,0,0,1,0,1,0,0,0,24,0,0,1,0,1,0,0,0,0,0,2,0,0,1,2,0,378041,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0
T_G_Set3_38,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,443272,0,0,1,0,0,14,0,0,0,21,0,1,5,0,0,0,39,1,2,0,0,0,0,0,0,0,0,24,0,0
T_G_Set3_39,0,0,0,0,14,0,3,0,2,0,0,0,1,0,5,1,0,0,0,0,1,0,0,0,0,0,511705,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0
T_G_Set3_40,33,0,1,0,221,1,1,1,1,0,3,1,0,1,0,0,0,1,0,0,1,0,672779,0,0,0,35,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,2,0,0,0,0,0
T_G_Set3_41,0,0,0,0,0,0,0,0,0,0,0,0,0,325,0,0,1,0,0,0,0,1,258,0,1,672706,1,47,3,0,0,0,1,0,0,0,6510,0,0,1,0,1,1,1,0,0,0,0
T_G_Set3_42,1,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,8,0,0,37,0,0,0,0,0,0,0,0,0,0,405996,0,0,0,0,0,1,0,0,0,0,0
T_G_Set3_43,1,0,1,0,0,0,3,0,2,0,0,0,0,0,1,35,0,0,538822,0,0,0,0,0,0,0,0,0,39,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
T_G_Set3_44,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,3,0,0,14,426859,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
T_G_Set3_45,0,0,0,0,0,1,0,0,0,1,0,0,2,1,0,1,0,1,0,0,0,0,1,0,0,10,0,0,0,0,0,0,0,1,380253,0,119,0,0,0,2,0,0,14,0,1,1,1
T_G_Set3_46,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,521842,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,17,0,0,0,0,0,0,0,0,0,0,0
T_G_Set3_47,1,0,0,0,0,0,1,0,0,1,1,1,2,0,613790,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,1,0,1,3,1,1,0,0,0,0,0,0,0,0,0,1,0
T_G_Set3_48,0,0,6,0,0,0,4,0,1,0,0,1,23,0,37,0,1,1,0,1,1,0,0,0,0,27,0,19,697947,0,0,0,0,0,0,0,1,20,2,0,52,0,18,0,0,0,0,0
