FileName,Well,Sample Description,Size [bp],Calibrated Conc. [ng/µl],Assigned Conc. [ng/µl],Peak Molarity [nmol/l],% Integrated Area,Peak Comment,Observations
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,A2,LPAManualBuild1_Res,225,0.0286,,0.196,4.84,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,A2,LPAManualBuild1_Res,338,0.0366,,0.166,6.19,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,A2,LPAManualBuild1_Res,472,0.168,,0.547,28.42,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,A2,LPAManualBuild1_Res,1500,6.50,6.50,6.67,,,Upper Marker
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,B2,LPAManualBuild1_Res,25,6.49,,399,,,Lower Marker
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,B2,LPAManualBuild1_Res,98,0.362,,5.71,59.52,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,B2,LPAManualBuild1_Res,222,0.0200,,0.138,3.28,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,B2,LPAManualBuild1_Res,339,0.0294,,0.134,4.84,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,B2,LPAManualBuild1_Res,472,0.161,,0.524,26.42,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,B2,LPAManualBuild1_Res,1500,6.50,6.50,6.67,,,Upper Marker
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,B2,LPAManualBuild1_Res,2368,0.0362,,0.0235,5.95,,Peak outside of Sizing Range
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,C2,LPAManualBuild1_Res,25,6.64,,408,,,Lower Marker
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,C2,LPAManualBuild1_Res,98,0.306,,4.83,55.44,,
