FileName,WellId,Sample Description,From [bp],To [bp],Average Size [bp],Conc. [ng/µl],Region Molarity [nmol/l],% of Total,Region Comment
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,D3,LPAManualBuild1_Hyper,400,700,480,0.167,0.552,8.96,double_ligated
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,E3,LPAManualBuild1_Hyper,140,700,410,0.256,1.09,16.53,total
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,E3,LPAManualBuild1_Hyper,190,280,220,0.0343,0.257,2.22,dimer
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,E3,LPAManualBuild1_Hyper,400,700,476,0.167,0.555,10.77,double_ligated
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,F3,LPAManualBuild1_Hyper,140,700,409,0.256,1.08,15.16,total
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,F3,LPAManualBuild1_Hyper,190,280,218,0.0303,0.230,1.80,dimer
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,F3,LPAManualBuild1_Hyper,400,700,472,0.166,0.555,9.80,double_ligated
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,G3,LPAManualBuild1_Hyper,140,700,409,0.249,1.05,14.27,total
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,G3,LPAManualBuild1_Hyper,190,280,220,0.0330,0.244,1.89,dimer
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,G3,LPAManualBuild1_Hyper,400,700,475,0.161,0.533,9.22,double_ligated
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,H3,LPAManualBuild1_Hyper,140,700,396,0.273,1.20,18.22,total
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,H3,LPAManualBuild1_Hyper,190,280,218,0.0459,0.336,3.06,dimer
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,H3,LPAManualBuild1_Hyper,400,700,474,0.163,0.541,10.87,double_ligated
